Day,Date,HomeTeam,AwayTeam,HomePts,AwayPts,PtsDiff,HomeWin,AtHome
Tue,2024-06-11,Atlanta Dream,Washington Mystics,68,87,-19,0,1
Tue,2024-06-11,Las Vegas Aces,Minnesota Lynx,86,100,-14,0,1
Tue,2024-06-11,Seattle Storm,Los Angeles Sparks,95,79,16,1,1
Wed,2024-06-12,Chicago Sky,Connecticut Sun,75,83,-8,0,1
Thu,2024-06-13,Dallas Wings,Seattle Storm,84,92,-8,0,1
Thu,2024-06-13,Indiana Fever,Atlanta Dream,91,84,7,1,1
Thu,2024-06-13,Phoenix Mercury,Las Vegas Aces,99,103,-4,0,1
Fri,2024-06-14,Minnesota Lynx,Los Angeles Sparks,81,76,5,1,1
Fri,2024-06-14,Washington Mystics,Chicago Sky,83,81,2,1,1
Sat,2024-06-15,Dallas Wings,Connecticut Sun,67,85,-18,0,1
Sat,2024-06-15,Las Vegas Aces,New York Liberty,82,90,-8,0,1
Sun,2024-06-16,Atlanta Dream,Los Angeles Sparks,87,74,13,1,1
Sun,2024-06-16,Indiana Fever,Chicago Sky,91,83,8,1,1
Sun,2024-06-16,Phoenix Mercury,Seattle Storm,87,78,9,1,1
Mon,2024-06-17,Minnesota Lynx,Dallas Wings,90,78,12,1,1
Tue,2024-06-18,Connecticut Sun,Los Angeles Sparks,79,70,9,1,1
Tue,2024-06-18,Phoenix Mercury,New York Liberty,99,93,6,1,1
Wed,2024-06-19,Indiana Fever,Washington Mystics,88,81,7,1,1
Wed,2024-06-19,Las Vegas Aces,Seattle Storm,94,83,11,1,1
Wed,2024-06-19,Minnesota Lynx,Atlanta Dream,68,55,13,1,1
Thu,2024-06-20,Chicago Sky,Dallas Wings,83,72,11,1,1
Thu,2024-06-20,New York Liberty,Los Angeles Sparks,93,80,13,1,1
Fri,2024-06-21,Atlanta Dream,Indiana Fever,79,91,-12,0,1
Fri,2024-06-21,Las Vegas Aces,Connecticut Sun,85,74,11,1,1
Sat,2024-06-22,Minnesota Lynx,Phoenix Mercury,73,60,13,1,1
Sat,2024-06-22,New York Liberty,Los Angeles Sparks,98,88,10,1,1
Sat,2024-06-22,Washington Mystics,Dallas Wings,97,69,28,1,1
Sun,2024-06-23,Atlanta Dream,New York Liberty,75,96,-21,0,1
Sun,2024-06-23,Chicago Sky,Indiana Fever,88,87,1,1,1
Sun,2024-06-23,Seattle Storm,Connecticut Sun,72,61,11,1,1
Sun,2024-06-23,Washington Mystics,Dallas Wings,92,84,8,1,1
<<<<<<< HEAD:completed_games_wnba_2024.csv
Thu,2024-06-27,Chicago Sky,Las Vegas Aces,83,95,-12,0,1
Thu,2024-06-27,Dallas Wings,Minnesota Lynx,94,88,6,1,1
Thu,2024-06-27,Seattle Storm,Indiana Fever,89,77,12,1,1
Thu,2024-06-27,Washington Mystics,Connecticut Sun,91,94,-3,0,1
Fri,2024-06-28,Connecticut Sun,Atlanta Dream,74,78,-4,0,1
Fri,2024-06-28,Phoenix Mercury,Los Angeles Sparks,92,78,14,1,1
Sat,2024-06-29,Seattle Storm,Dallas Wings,97,76,21,1,1
Sat,2024-06-29,Washington Mystics,Las Vegas Aces,77,88,-11,0,1
Sun,2024-06-30,Chicago Sky,Minnesota Lynx,62,70,-8,0,1
Sun,2024-06-30,New York Liberty,Atlanta Dream,81,75,6,1,1
Sun,2024-06-30,Phoenix Mercury,Indiana Fever,82,88,-6,0,1
Mon,2024-07-01,Phoenix Mercury,Connecticut Sun,72,83,-11,0,1
Mon,2024-07-01,Seattle Storm,Dallas Wings,95,71,24,1,1
Tue,2024-07-02,Atlanta Dream,Chicago Sky,77,85,-8,0,1
Tue,2024-07-02,Los Angeles Sparks,Washington Mystics,80,82,-2,0,1
Tue,2024-07-02,Las Vegas Aces,Indiana Fever,88,69,19,1,1
Tue,2024-07-02,New York Liberty,Minnesota Lynx,76,67,9,1,1
Wed,2024-07-03,Dallas Wings,Phoenix Mercury,96,104,-8,0,1
Thu,2024-07-04,Las Vegas Aces,Washington Mystics,98,77,21,1,1
Thu,2024-07-04,Minnesota Lynx,Connecticut Sun,73,78,-5,0,1
=======
>>>>>>> origin/main:wnba_2024.csv
