Day,Date,HomeTeam,AwayTeam,HomePts,AwayPts
Sat,2024-06-15,Las Vegas Aces,New York Liberty,82,90
Sun,2024-06-16,Atlanta Dream,Los Angeles Sparks,87,74
Sun,2024-06-16,Indiana Fever,Chicago Sky,91,83
Sun,2024-06-16,Phoenix Mercury,Seattle Storm,87,78
Mon,2024-06-17,Minnesota Lynx,Dallas Wings,90,78
Tue,2024-06-18,Connecticut Sun,Los Angeles Sparks,79,70
Tue,2024-06-18,Phoenix Mercury,New York Liberty,99,93
Wed,2024-06-19,Indiana Fever,Washington Mystics,88,81
Wed,2024-06-19,Las Vegas Aces,Seattle Storm,94,83
Wed,2024-06-19,Minnesota Lynx,Atlanta Dream,68,55
Thu,2024-06-20,Chicago Sky,Dallas Wings,83,72
Thu,2024-06-20,New York Liberty,Los Angeles Sparks,93,80
Fri,2024-06-21,Atlanta Dream,Indiana Fever,79,91
Fri,2024-06-21,Las Vegas Aces,Connecticut Sun,85,74
Sat,2024-06-22,Minnesota Lynx,Phoenix Mercury,73,60
Sat,2024-06-22,New York Liberty,Los Angeles Sparks,98,88
Sat,2024-06-22,Washington Mystics,Dallas Wings,97,69
Sun,2024-06-23,Atlanta Dream,New York Liberty,75,96
Sun,2024-06-23,Chicago Sky,Indiana Fever,88,87
Sun,2024-06-23,Seattle Storm,Connecticut Sun,72,61
Sun,2024-06-23,Washington Mystics,Dallas Wings,92,84
Thu,2024-06-27,Chicago Sky,Las Vegas Aces,83,95
Thu,2024-06-27,Dallas Wings,Minnesota Lynx,94,88
Thu,2024-06-27,Seattle Storm,Indiana Fever,89,77
Thu,2024-06-27,Washington Mystics,Connecticut Sun,91,94
Fri,2024-06-28,Connecticut Sun,Atlanta Dream,74,78
Fri,2024-06-28,Phoenix Mercury,Los Angeles Sparks,92,78
Sat,2024-06-29,Seattle Storm,Dallas Wings,97,76
Sat,2024-06-29,Washington Mystics,Las Vegas Aces,77,88
Sun,2024-06-30,Chicago Sky,Minnesota Lynx,62,70
Sun,2024-06-30,New York Liberty,Atlanta Dream,81,75
Sun,2024-06-30,Phoenix Mercury,Indiana Fever,82,88
Mon,2024-07-01,Phoenix Mercury,Connecticut Sun,72,83
Mon,2024-07-01,Seattle Storm,Dallas Wings,95,71
Tue,2024-07-02,Atlanta Dream,Chicago Sky,77,85
Tue,2024-07-02,Los Angeles Sparks,Washington Mystics,80,82
Tue,2024-07-02,Las Vegas Aces,Indiana Fever,88,69
Tue,2024-07-02,New York Liberty,Minnesota Lynx,76,67
Wed,2024-07-03,Dallas Wings,Phoenix Mercury,96,104
Thu,2024-07-04,Las Vegas Aces,Washington Mystics,98,77
Thu,2024-07-04,Minnesota Lynx,Connecticut Sun,73,78
Fri,2024-07-05,Dallas Wings,Atlanta Dream,85,82
Fri,2024-07-05,Los Angeles Sparks,Las Vegas Aces,98,93
Fri,2024-07-05,Seattle Storm,Chicago Sky,84,88
Sat,2024-07-06,Indiana Fever,New York Liberty,83,78
Sat,2024-07-06,Minnesota Lynx,Washington Mystics,74,67
Sun,2024-07-07,Connecticut Sun,Atlanta Dream,80,67
Sun,2024-07-07,Los Angeles Sparks,Phoenix Mercury,78,84
Sun,2024-07-07,Las Vegas Aces,Dallas Wings,104,85
Sun,2024-07-07,Seattle Storm,Chicago Sky,84,71
Tue,2024-07-09,Los Angeles Sparks,Minnesota Lynx,67,82
Wed,2024-07-10,Chicago Sky,Atlanta Dream,78,69
Wed,2024-07-10,Connecticut Sun,New York Liberty,68,71
Wed,2024-07-10,Indiana Fever,Washington Mystics,84,89
Wed,2024-07-10,Phoenix Mercury,Dallas Wings,100,84
Wed,2024-07-10,Seattle Storm,Las Vegas Aces,79,84
Thu,2024-07-11,New York Liberty,Chicago Sky,91,76
